City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
376,Priargunsk,RU,62.62,few clouds,50.3691,119.1012,24 Chasa
379,Gornopravdinsk,RU,61.45,overcast clouds,60.05,69.9,Hostel
380,Zwedru,LR,71.15,light rain,6.0667,-8.1281,Elijah Worjloh
382,Lagoa,PT,73.15,overcast clouds,39.05,-27.9833,Casa Das Faias
384,Seddon,AU,68.31,broken clouds,-37.8068,144.8916,Footscray Motor Inn
387,Beinamar,TD,73.83,overcast clouds,8.6698,15.3813,
394,Castro Marim,PT,71.29,clear sky,37.2207,-7.4435,Parador de Ayamonte
396,Peru,US,74.59,broken clouds,40.7537,-86.0689,Cole Porter Inn
397,Itarema,BR,76.51,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
398,Fukue,JP,72.05,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
400,Zhezkazgan,KZ,75.18,clear sky,47.8043,67.7144,Hotel Zumrat
403,Corinth,GR,72.9,broken clouds,37.9407,22.9573,Ephira Hotel
404,Kieta,PG,78.85,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
406,Kilimatinde,TZ,75.7,broken clouds,-5.85,34.95,
412,Dengzhou,CN,71.89,clear sky,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
416,Wukari,NG,75.42,overcast clouds,7.85,9.7833,Elimtop
417,Itapora,BR,65.71,scattered clouds,-22.0799,-54.7874,Alojamento do Paulinho
418,Yabrud,SY,66.38,scattered clouds,33.9674,36.6574,صالة افراح الاندلس
419,Moose Factory,CA,60.8,overcast clouds,51.2585,-80.6094,Moosonee Lilypad
420,Belyy Yar,RU,63.86,clear sky,53.6039,91.3903,Pasportnyy Stol
421,Amapa,BR,71.38,scattered clouds,1.0,-52.0,
422,Saint-Philippe,RE,76.59,broken clouds,-21.3585,55.7679,Le four à pain
424,Thessalon,CA,64.69,scattered clouds,46.2501,-83.5666,Carolyn Beach Inn & Restaurant
425,Tottori,JP,68.38,overcast clouds,35.5,134.2333,Hotel Monarque Tottori
426,Changli,CN,78.73,few clouds,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
427,Lata,PT,66.07,scattered clouds,40.1629,-8.3327,Casa Maquia
429,Los Llanos De Aridane,ES,69.55,broken clouds,28.6585,-17.9182,Valle Aridane
431,Havelock,US,75.92,clear sky,34.8791,-76.9013,Sherwood Motel
432,Kaabong,UG,73.44,overcast clouds,3.4836,34.1492,Madona Guest House Kaabong
434,Amahai,ID,78.49,moderate rain,-3.3333,128.9167,HOTEL ISABELA
437,Kisangani,CD,71.51,overcast clouds,0.5167,25.2,Grand Ramela Hotel
439,Hualmay,PE,60.19,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
441,Sao Joao Da Barra,BR,70.45,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
443,Vavatenina,MG,69.51,light rain,-17.4667,49.2,FARA Jean E. et TOMBO Berthine
445,Teguise,ES,66.42,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
447,Clinton,US,66.13,few clouds,42.587,-82.9199,River's Edge
449,Griffith,US,78.89,clear sky,41.5284,-87.4237,Apartment above Depot Bar
