City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Lompoc,US,2022-09-20 21:30:29,34.6391,-120.4579,77.14,70,20,11.5
163,Airai,TL,2022-09-20 21:30:29,-8.9266,125.4092,60.19,85,29,3.13
164,Mar Del Plata,AR,2022-09-20 21:30:30,-38.0023,-57.5575,53.1,75,0,6.91
165,Longyearbyen,SJ,2022-09-20 21:30:30,78.2186,15.6401,35.44,75,75,21.85
166,Salalah,OM,2022-09-20 21:30:30,17.0151,54.0924,78.89,89,75,4.61
167,Leningradskiy,RU,2022-09-20 21:30:31,69.3833,178.4167,34.66,72,5,14.0
168,San Patricio,US,2022-09-20 21:30:32,28.017,-97.5169,93.15,49,24,13.04
169,Tayoltita,MX,2022-09-20 21:30:32,24.0833,-105.9333,78.17,83,34,3.67
170,Baie-Comeau,CA,2022-09-20 21:30:32,49.2168,-68.1489,51.48,76,20,10.36
171,Oschersleben,DE,2022-09-20 21:30:33,52.0333,11.25,46.65,86,7,5.59
172,Tsiroanomandidy,MG,2022-09-20 21:30:33,-18.7667,46.0333,63.36,67,0,4.16
173,Aklavik,CA,2022-09-20 21:27:57,68.2191,-135.0107,46.4,87,75,3.44
174,Petauke,ZM,2022-09-20 21:30:34,-14.2426,31.3253,72.52,28,2,4.88
175,Carnarvon,AU,2022-09-20 21:27:51,-24.8667,113.6333,63.91,59,96,12.66
176,Amazar,RU,2022-09-20 21:30:34,53.858,120.875,32.77,95,39,1.79
177,Itarema,BR,2022-09-20 21:30:34,-2.9248,-39.9167,77.68,85,66,17.18
178,Stromness,GB,2022-09-20 21:30:35,58.965,-3.296,56.88,90,100,8.99
179,Udachnyy,RU,2022-09-20 21:30:35,66.4167,112.4,25.45,92,100,14.09
180,Macapa,BR,2022-09-20 21:30:35,0.0389,-51.0664,82.38,78,75,5.75
181,San Juan,AR,2022-09-20 21:31:36,-31.5375,-68.5364,62.51,28,0,12.82
182,Progreso,MX,2022-09-20 21:31:36,21.2833,-89.6667,85.1,69,1,14.41
183,Port Alfred,ZA,2022-09-20 21:31:37,-33.5906,26.891,58.21,75,8,8.48
184,Shelburne,CA,2022-09-20 21:30:01,44.0787,-80.2041,74.75,56,71,5.23
185,Arlit,NE,2022-09-20 21:31:37,18.7369,7.3853,93.4,30,84,1.48
